monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
1995.9584, 1995, 12, 394, 266.700, 0.361, 358, 536.321, 0.752, 360, 104.453, 1.186, 604, 102.253, 0.409, 332, 312.749, 0.247, 552, 84.687, 0.309, 337, 1845.052, 17.805, 564, 14.984, 1.739, 224, 137.086, 12.477, 592, 501.554, 9.247
1996.0416, 1996, 1, 616, 266.379, 0.319, 606, 535.872, 0.680, 666, 103.079, 0.750, 678, 101.980, 0.379, 565, 312.842, 0.213, 733, 84.667, 0.357, 527, 1836.579, 11.304, 655, 13.875, 1.444, 517, 150.257, 9.344, 718, 509.701, 6.794
1996.1250, 1996, 2, 616, 266.238, 0.384, 582, 536.036, 0.700, 578, 102.372, 0.870, 767, 101.845, 0.405, 589, 312.895, 0.218, 743, 85.050, 0.286, 519, 1835.590, 8.987, 497, 12.786, 1.033, 425, 166.318, 9.233, 724, 519.472, 5.878
1996.2084, 1996, 3, 458, 266.036, 0.372, 419, 535.456, 0.659, 423, 101.076, 0.850, 618, 101.733, 0.393, 407, 313.036, 0.220, 588, 85.051, 0.296, 322, 1828.326, 9.245, 262, 12.858, 0.900, 251, 160.738, 9.184, 495, 529.573, 7.855
1996.2916, 1996, 4, 707, 265.900, 0.361, 662, 535.894, 0.604, 740, 100.011, 0.973, 814, 101.611, 0.383, 573, 313.190, 0.208, 834, 84.803, 0.375, 667, 1832.030, 10.563, 658, 12.300, 0.941, 691, 158.620, 9.720, 834, 533.573, 5.048
1996.3750, 1996, 5, 866, 265.999, 0.360, 728, 536.388, 0.532, 849, 99.344, 1.234, 917, 101.722, 0.331, 667, 313.325, 0.181, 904, 84.846, 0.352, 779, 1833.253, 12.153, 562, 12.293, 1.180, 779, 146.633, 11.377, 880, 531.508, 5.781
1996.4584, 1996, 6, 715, 265.849, 0.339, 679, 536.645, 0.571, 734, 96.889, 1.062, 800, 101.040, 0.454, 656, 313.273, 0.173, 765, 84.247, 0.386, 704, 1814.128, 10.702, 633, 11.759, 1.033, 740, 118.902, 8.599, 813, 531.101, 5.755
1996.5416, 1996, 7, 733, 265.583, 0.335, 615, 537.014, 0.521, 757, 93.861, 1.663, 883, 100.848, 0.342, 700, 313.237, 0.199, 725, 83.799, 0.431, 723, 1798.459, 16.942, 740, 11.923, 1.520, 681, 98.867, 10.190, 840, 523.264, 10.925
1996.6250, 1996, 8, 763, 265.306, 0.348, 681, 537.525, 0.645, 891, 92.301, 0.969, 926, 100.666, 0.335, 713, 313.148, 0.205, 924, 83.914, 0.252, 774, 1815.084, 9.881, 723, 13.115, 1.212, 826, 113.058, 9.688, 923, 511.856, 9.423
1996.7084, 1996, 9, 458, 265.399, 0.400, 447, 538.476, 0.589, 600, 90.113, 1.168, 770, 100.797, 0.416, 406, 313.209, 0.197, 750, 84.031, 0.308, 423, 1819.196, 16.258, 390, 12.829, 1.662, 456, 111.071, 10.232, 852, 503.816, 13.666
1996.7916, 1996, 10, 863, 265.433, 0.334, 863, 539.029, 0.610, 877, 89.020, 0.851, 866, 100.786, 0.455, 779, 313.255, 0.201, 847, 83.892, 0.261, 773, 1824.550, 9.625, 843, 13.089, 1.072, 893, 115.246, 5.687, 817, 496.875, 10.728
1996.8750, 1996, 11, 800, 265.689, 0.377, 788, 539.777, 0.702, 808, 88.394, 0.738, 817, 101.040, 0.406, 741, 313.461, 0.188, 832, 84.017, 0.250, 663, 1832.001, 13.309, 712, 13.755, 1.193, 675, 125.463, 9.156, 776, 500.388, 19.732
1996.9584, 1996, 12, 720, 265.879, 0.395, 704, 540.039, 0.831, 777, 87.758, 0.801, 837, 101.033, 0.377, 583, 313.737, 0.279, 843, 84.201, 0.245, 565, 1842.241, 19.782, 609, 14.136, 1.635, 463, 135.053, 14.396, 755, 509.717, 17.277
1997.0416, 1997, 1, 634, 265.756, 0.372, 623, 540.121, 0.700, 676, 86.779, 1.315, 843, 100.859, 0.378, 416, 313.948, 0.240, 821, 84.202, 0.268, 605, 1847.794, 24.286, 633, 14.189, 1.584, 475, 151.082, 16.561, 687, 514.524, 9.138
1997.1250, 1997, 2, 570, 265.143, 0.311, 591, 539.065, 0.598, 557, 85.612, 0.815, 563, 100.532, 0.403, 582, 313.739, 0.183, 570, 84.081, 0.256, 632, 1830.958, 11.099, 548, 12.453, 0.862, 651, 147.521, 8.672, 624, 514.643, 6.546
1997.2084, 1997, 3, 810, 264.993, 0.306, 808, 539.015, 0.577, 862, 84.708, 0.918, 904, 100.435, 0.374, 744, 313.864, 0.194, 874, 84.019, 0.237, 465, 1828.606, 15.763, 738, 12.433, 0.864, 721, 150.793, 12.172, 814, 521.677, 5.800
1997.2916, 1997, 4, 689, 264.911, 0.340, 715, 539.216, 0.642, 807, 83.695, 1.141, 851, 100.450, 0.421, 628, 314.000, 0.202, 853, 83.889, 0.266, 321, 1823.585, 18.141, 465, 11.843, 0.937, 686, 144.442, 13.369, 833, 526.611, 6.863
1997.3750, 1997, 5, 444, 264.897, 0.270, 456, 539.696, 0.527, 598, 82.930, 0.954, 877, 100.698, 0.392, 409, 314.111, 0.228, 796, 84.089, 0.265, 488, 1835.477, 12.437, 490, 12.652, 1.106, 506, 138.324, 11.054, 900, 528.941, 7.465
1997.4584, 1997, 6, 573, 264.483, 0.338, 596, 539.687, 0.600, 810, 81.309, 1.005, 830, 100.612, 0.358, 416, 314.023, 0.228, 828, 83.949, 0.274, 588, 1825.687, 13.149, 559, 12.286, 1.460, 675, 108.021, 9.985, 863, 519.256, 8.199
1997.5416, 1997, 7, 804, 263.956, 0.292, 767, 539.872, 0.566, 918, 78.359, 0.950, 929, 100.293, 0.325, 758, 313.888, 0.213, 907, 83.699, 0.274, 776, 1802.443, 11.731, 736, 10.800, 1.361, 749, 84.136, 5.965, 888, 513.724, 10.275
1997.6250, 1997, 8, 609, 263.677, 0.346, 597, 540.247, 0.635, 838, 76.503, 0.968, 863, 100.218, 0.359, 501, 313.805, 0.256, 784, 83.755, 0.264, 484, 1809.856, 10.334, 590, 11.489, 1.199, 577, 81.650, 4.745, 888, 501.059, 10.140
1997.7084, 1997, 9, 578, 263.572, 0.328, 571, 540.292, 0.615, 595, 75.262, 0.773, 785, 100.164, 0.399, 508, 313.698, 0.230, 673, 83.734, 0.260, 474, 1809.871, 10.988, 437, 11.072, 1.133, 507, 80.286, 4.276, 628, 486.031, 7.903
1997.7916, 1997, 10, 598, 263.924, 0.309, 634, 541.379, 0.678, 705, 74.170, 0.694, 847, 100.282, 0.371, 573, 313.999, 0.221, 812, 83.837, 0.251, 477, 1817.336, 13.958, 547, 12.067, 1.341, 556, 95.247, 8.810, 741, 484.586, 7.270
1997.8750, 1997, 11, 610, 264.244, 0.334, 639, 542.167, 0.661, 706, 73.485, 0.641, 784, 100.316, 0.333, 575, 314.362, 0.231, 767, 83.877, 0.220, 459, 1831.541, 12.401, 484, 12.845, 1.025, 481, 120.020, 8.980, 717, 492.442, 6.389
1997.9584, 1997, 12, 665, 264.315, 0.373, 629, 542.347, 0.703, 826, 72.973, 0.555, 753, 99.983, 0.416, 680, 314.411, 0.235, 841, 83.665, 0.227, 483, 1834.780, 10.905, 543, 12.823, 0.830, 526, 137.999, 8.214, 787, 500.071, 6.201
1998.0416, 1998, 1, 678, 264.111, 0.335, 673, 542.160, 0.660, 783, 72.328, 0.645, 833, 99.805, 0.373, 693, 314.458, 0.227, 856, 83.646, 0.233, 551, 1834.526, 12.695, 534, 12.811, 0.901, 612, 148.505, 10.997, 816, 507.487, 7.695
1998.1250, 1998, 2, 665, 263.803, 0.312, 691, 541.743, 0.559, 792, 71.418, 0.505, 786, 99.512, 0.371, 671, 314.526, 0.196, 811, 83.586, 0.228, 659, 1833.058, 8.612, 639, 12.378, 0.677, 717, 157.274, 8.141, 762, 516.872, 5.125
1998.2084, 1998, 3, 845, 263.604, 0.281, 836, 541.634, 0.544, 902, 70.504, 0.713, 911, 99.312, 0.319, 795, 314.576, 0.183, 890, 83.524, 0.216, 666, 1831.260, 13.610, 736, 12.005, 0.893, 898, 157.213, 12.515, 784, 522.426, 5.661
1998.2916, 1998, 4, 826, 263.630, 0.309, 823, 542.022, 0.591, 872, 69.961, 0.613, 869, 99.355, 0.339, 663, 314.677, 0.196, 875, 83.469, 0.234, 649, 1842.599, 9.718, 646, 12.647, 0.824, 798, 164.393, 7.295, 887, 526.231, 4.579
1998.3750, 1998, 5, 389, 263.531, 0.363, 406, 542.271, 0.576, 559, 68.767, 0.784, 542, 99.492, 0.404, 302, 314.698, 0.192, 571, 83.415, 0.257, 364, 1832.829, 10.879, 390, 12.126, 1.093, 436, 148.682, 8.268, 445, 533.058, 7.550
1998.4584, 1998, 6, 782, 263.267, 0.409, 797, 542.098, 0.527, 905, 67.348, 0.975, 902, 99.318, 0.370, 676, 314.566, 0.208, 870, 83.301, 0.299, 594, 1819.272, 13.076, 681, 11.400, 1.087, 773, 118.167, 10.819, 837, 535.040, 7.300
1998.5416, 1998, 7, 878, 262.708, 0.306, 776, 541.946, 0.521, 916, 65.591, 0.699, 915, 99.057, 0.308, 781, 314.333, 0.201, 849, 83.017, 0.243, 700, 1816.355, 10.496, 673, 11.648, 1.041, 741, 101.559, 6.854, 843, 524.390, 9.019
1998.6250, 1998, 8, 864, 262.069, 0.307, 852, 541.725, 0.512, 925, 63.898, 0.641, 933, 98.747, 0.342, 809, 314.068, 0.192, 827, 82.931, 0.228, 696, 1823.718, 10.033, 717, 11.684, 1.036, 716, 113.878, 17.230, 881, 518.295, 8.974
1998.7084, 1998, 9, 524, 262.094, 0.316, 539, 542.381, 0.607, 734, 62.959, 0.641, 711, 98.766, 0.414, 420, 314.182, 0.231, 649, 83.021, 0.274, 444, 1842.374, 11.120, 468, 12.130, 0.985, 627, 148.610, 10.883, 649, 521.550, 8.544
1998.7916, 1998, 10, 713, 262.469, 0.350, 678, 543.278, 0.533, 918, 62.050, 0.731, 792, 98.704, 0.464, 663, 314.521, 0.208, 896, 83.088, 0.273, 663, 1848.049, 10.087, 638, 12.360, 0.995, 638, 171.737, 16.150, 884, 513.364, 10.561
1998.8750, 1998, 11, 461, 262.792, 0.349, 432, 543.922, 0.550, 488, 61.538, 0.599, 488, 98.746, 0.397, 414, 314.768, 0.201, 491, 83.117, 0.242, 290, 1848.517, 9.422, 320, 12.641, 0.984, 437, 167.456, 14.619, 505, 515.183, 8.603
1998.9584, 1998, 12, 570, 262.687, 0.340, 596, 543.842, 0.568, 559, 60.662, 1.046, 560, 98.492, 0.575, 592, 314.942, 0.195, 552, 83.096, 0.252, 542, 1847.209, 11.573, 524, 12.071, 0.933, 331, 148.207, 12.419, 326, 519.287, 7.249
1999.0416, 1999, 1, 807, 262.668, 0.368, 767, 544.075, 0.649, 804, 60.216, 0.760, 810, 98.361, 0.499, 724, 315.125, 0.202, 813, 83.139, 0.270, 666, 1854.892, 11.193, 707, 12.217, 0.958, 391, 160.522, 11.558, 437, 528.618, 4.524
1999.1250, 1999, 2, 715, 262.406, 0.364, 720, 543.490, 0.620, 723, 59.495, 0.678, 717, 98.260, 0.438, 710, 315.095, 0.196, 720, 83.199, 0.245, 697, 1846.506, 13.438, 651, 11.936, 0.947, 659, 158.069, 13.553, 707, 534.465, 4.361
1999.2084, 1999, 3, 810, 262.255, 0.338, 810, 543.541, 0.630, 879, 59.010, 0.672, 865, 98.158, 0.404, 803, 315.184, 0.207, 889, 83.174, 0.224, 769, 1850.352, 15.621, 721, 11.948, 0.993, 721, 164.929, 15.867, 732, 539.106, 4.072
1999.2916, 1999, 4, 661, 262.044, 0.377, 684, 543.442, 0.581, 802, 58.311, 0.621, 796, 98.073, 0.413, 591, 315.269, 0.245, 801, 83.062, 0.277, 598, 1856.231, 15.072, 563, 12.059, 0.919, 673, 160.465, 10.286, 740, 540.533, 4.244
1999.3750, 1999, 5, 588, 261.450, 0.340, 602, 542.982, 0.562, 786, 57.159, 0.765, 772, 97.976, 0.368, 446, 315.070, 0.263, 753, 82.787, 0.270, 559, 1843.939, 14.496, 462, 11.496, 1.001, 582, 134.012, 10.532, 698, 540.894, 4.263
1999.4584, 1999, 6, 748, 261.063, 0.281, 744, 542.909, 0.489, 852, 56.017, 0.639, 850, 97.817, 0.292, 676, 314.763, 0.195, 832, 82.690, 0.246, 667, 1829.661, 10.323, 563, 10.802, 0.828, 736, 109.814, 9.435, 749, 533.677, 6.336
1999.5416, 1999, 7, 657, 260.550, 0.393, 698, 542.868, 0.655, 856, 54.287, 0.533, 857, 97.568, 0.305, 566, 314.688, 0.245, 722, 82.524, 0.247, 543, 1819.413, 9.871, 460, 10.971, 0.892, 639, 90.007, 7.229, 766, 526.258, 8.452
1999.6250, 1999, 8, 620, 260.390, 0.364, 694, 543.038, 0.581, 844, 53.040, 0.518, 868, 97.465, 0.294, 363, 314.627, 0.266, 823, 82.502, 0.240, 412, 1825.921, 9.249, 329, 11.138, 0.845, 584, 86.426, 3.944, 812, 516.677, 10.640
1999.7084, 1999, 9, 747, 260.377, 0.406, 723, 543.461, 0.769, 822, 52.150, 0.497, 818, 97.401, 0.305, 573, 314.841, 0.311, 797, 82.331, 0.198, 605, 1831.599, 12.808, 591, 11.191, 0.889, 636, 89.144, 5.086, 840, 507.025, 7.969
1999.7916, 1999, 10, 556, 260.845, 0.404, 563, 544.450, 0.708, 774, 51.785, 0.552, 787, 97.601, 0.409, 442, 315.233, 0.299, 775, 82.459, 0.242, 453, 1839.529, 10.871, 426, 11.526, 0.974, 440, 98.327, 7.243, 740, 495.009, 10.023
1999.8750, 1999, 11, 741, 261.280, 0.297, 731, 545.157, 0.470, 730, 51.061, 0.514, 780, 97.600, 0.349, 648, 315.519, 0.193, 771, 82.509, 0.202, 606, 1842.851, 9.536, 564, 11.488, 0.735, 598, 114.883, 5.135, 743, 500.499, 7.174
1999.9584, 1999, 12, 828, 261.309, 0.295, 827, 545.366, 0.534, 825, 50.744, 0.547, 822, 97.530, 0.418, 773, 315.751, 0.179, 839, 82.551, 0.234, 767, 1846.567, 10.702, 699, 11.543, 0.740, 798, 126.468, 8.000, 862, 504.519, 7.174
2000.0416, 2000, 1, 859, 261.171, 0.268, 881, 545.291, 0.518, 914, 50.218, 0.522, 899, 97.272, 0.325, 799, 315.913, 0.160, 923, 82.524, 0.204, 880, 1845.478, 11.097, 645, 11.513, 0.792, 858, 136.173, 7.786, 915, 516.264, 7.193
2000.1250, 2000, 2, 705, 261.034, 0.280, 713, 545.256, 0.493, 720, 49.748, 0.503, 718, 97.165, 0.362, 709, 316.039, 0.157, 724, 82.528, 0.241, 717, 1846.037, 10.222, 717, 11.234, 0.733, 726, 144.930, 8.516, 731, 523.002, 4.636
2000.2084, 2000, 3, 726, 260.777, 0.318, 804, 545.053, 0.687, 879, 49.039, 0.603, 888, 97.048, 0.303, 681, 316.079, 0.160, 888, 82.443, 0.201, 730, 1836.802, 18.826, 655, 10.410, 1.089, 795, 140.069, 16.794, 843, 529.757, 5.421
2000.2916, 2000, 4, 676, 260.951, 0.270, 678, 545.713, 0.491, 835, 48.961, 0.440, 814, 97.103, 0.286, 459, 316.228, 0.214, 822, 82.366, 0.251, 707, 1863.613, 12.689, 626, 12.274, 0.821, 728, 156.155, 6.778, 798, 528.885, 4.165
2000.3750, 2000, 5, 505, 260.628, 0.288, 569, 545.575, 0.557, 863, 48.220, 0.491, 818, 97.281, 0.334, 459, 316.243, 0.161, 720, 82.344, 0.225, 472, 1848.264, 13.736, 435, 10.714, 0.737, 583, 134.524, 11.367, 733, 529.757, 5.484
2000.4584, 2000, 6, 709, 260.464, 0.246, 730, 545.528, 0.498, 929, 47.359, 0.658, 919, 97.337, 0.279, 531, 316.301, 0.187, 827, 82.133, 0.255, 662, 1836.262, 16.529, 549, 10.058, 0.786, 778, 107.618, 9.358, 846, 525.476, 6.046
2000.5416, 2000, 7, 665, 260.145, 0.251, 701, 545.701, 0.470, 837, 45.613, 0.922, 804, 97.169, 0.296, 624, 316.356, 0.199, 716, 82.025, 0.259, 644, 1818.027, 21.629, 479, 9.705, 1.397, 657, 83.973, 8.833, 712, 523.476, 9.930
2000.6250, 2000, 8, 759, 259.741, 0.238, 767, 545.579, 0.543, 933, 44.828, 0.510, 906, 97.095, 0.303, 656, 316.136, 0.196, 807, 81.936, 0.214, 679, 1821.738, 14.302, 629, 10.133, 1.053, 650, 87.965, 6.169, 882, 510.113, 11.444
2000.7084, 2000, 9, 538, 259.755, 0.293, 555, 545.966, 0.589, 691, 43.999, 0.500, 684, 96.957, 0.305, 497, 316.257, 0.213, 642, 81.957, 0.197, 560, 1840.204, 14.072, 480, 10.964, 0.855, 456, 89.933, 3.675, 561, 492.738, 10.264
2000.7916, 2000, 10, 835, 260.028, 0.314, 847, 546.540, 0.530, 869, 43.389, 0.589, 870, 97.005, 0.387, 838, 316.479, 0.202, 850, 82.006, 0.242, 909, 1840.954, 13.943, 807, 11.156, 0.821, 815, 97.651, 5.860, 887, 487.229, 7.387
2000.8750, 2000, 11, 799, 260.317, 0.391, 807, 547.055, 0.528, 865, 42.990, 0.533, 867, 97.063, 0.384, 792, 316.769, 0.214, 887, 82.062, 0.233, 773, 1848.316, 13.727, 679, 11.389, 0.842, 518, 109.581, 5.247, 817, 493.929, 6.946
2000.9584, 2000, 12, 763, 260.306, 0.272, 771, 547.160, 0.473, 859, 42.691, 0.508, 846, 97.052, 0.349, 768, 316.916, 0.187, 882, 82.077, 0.226, 712, 1855.564, 14.391, 562, 11.516, 0.722, 562, 123.393, 6.557, 823, 501.286, 5.134
2001.0416, 2001, 1, 246, 260.481, 0.371, 275, 547.603, 0.567, 483, 42.513, 0.638, 420, 96.978, 0.404, 255, 317.127, 0.205, 478, 82.163, 0.256, 185, 1859.596, 16.681, 176, 11.747, 0.939, 162, 136.198, 7.319, 381, 509.391, 5.694
2001.1250, 2001, 2, 299, 260.214, 0.381, 331, 547.108, 0.590, 347, 41.705, 0.533, 344, 96.506, 0.352, 331, 317.230, 0.163, 346, 82.214, 0.222, 367, 1855.753, 17.687, 269, 11.243, 0.950, 370, 148.904, 12.911, 354, 520.063, 7.010
2001.2084, 2001, 3, 545, 260.058, 0.407, 566, 547.029, 0.557, 848, 41.575, 0.539, 789, 96.424, 0.403, 497, 317.326, 0.179, 869, 82.164, 0.257, 452, 1859.230, 13.905, 457, 11.406, 0.774, 470, 154.292, 8.838, 726, 525.319, 6.686
2001.2916, 2001, 4, 771, 259.464, 0.340, 786, 546.449, 0.450, 866, 40.930, 0.512, 861, 96.303, 0.344, 742, 317.203, 0.199, 856, 81.838, 0.274, 811, 1847.449, 12.958, 661, 10.587, 0.769, 831, 143.462, 9.436, 869, 527.700, 5.183
2001.3750, 2001, 5, 580, 259.105, 0.362, 628, 546.283, 0.534, 866, 40.201, 0.564, 831, 96.315, 0.326, 534, 317.111, 0.227, 811, 81.679, 0.290, 547, 1842.201, 12.972, 421, 10.181, 0.701, 558, 129.775, 10.743, 719, 530.142, 6.340
2001.4584, 2001, 6, 761, 258.697, 0.291, 785, 546.062, 0.422, 876, 39.315, 0.544, 870, 96.211, 0.290, 692, 316.946, 0.183, 805, 81.522, 0.276, 632, 1832.018, 9.021, 587, 9.979, 0.828, 584, 103.517, 7.286, 693, 522.850, 6.835
2001.5416, 2001, 7, 887, 258.220, 0.257, 880, 545.706, 0.425, 951, 38.286, 0.634, 941, 96.031, 0.276, 815, 316.772, 0.196, 876, 81.294, 0.247, 826, 1823.593, 9.331, 710, 10.228, 1.061, 854, 83.701, 5.354, 921, 513.036, 7.910
