monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
1995.3750, 1995, 5, 899, 261.431, 0.567, 792, 520.337, 0.901, 839, 99.220, 0.375, 955, 100.145, 0.337, 932, 310.758, 0.461, 894, 82.357, 0.299, 466, 1696.255, 2.762, 376, 5.587, 0.476, 480, 50.584, 1.159, 923, 536.767, 8.738
1995.4584, 1995, 6, 811, 261.557, 0.415, 792, 520.682, 0.845, 790, 98.922, 0.414, 875, 99.931, 0.383, 805, 310.782, 0.517, 876, 82.505, 0.222, 484, 1701.928, 1.975, 378, 5.991, 0.460, 422, 52.177, 0.957, 661, 536.014, 3.276
1995.5416, 1995, 7, 915, 261.658, 0.336, 894, 521.255, 0.802, 858, 98.658, 0.384, 943, 99.789, 0.322, 819, 310.823, 0.470, 915, 82.569, 0.206, 570, 1705.889, 2.307, 629, 6.188, 0.565, 559, 54.931, 1.049, 835, 535.446, 2.168
1995.6250, 1995, 8, 856, 261.764, 0.343, 839, 521.976, 0.866, 819, 98.078, 0.407, 893, 99.709, 0.310, 844, 310.957, 0.446, 859, 82.561, 0.304, 578, 1710.748, 1.990, 627, 6.225, 0.980, 647, 57.861, 1.385, 764, 534.271, 1.732
1995.7084, 1995, 9, 779, 261.845, 0.227, 725, 522.439, 0.595, 729, 97.428, 0.435, 801, 99.603, 0.265, 771, 311.073, 0.211, 760, 82.685, 0.225, 583, 1714.081, 1.548, 533, 6.484, 0.939, 342, 60.613, 1.171, 719, 535.057, 2.128
1995.7916, 1995, 10, 894, 261.929, 0.265, 843, 522.800, 0.548, 868, 96.366, 0.516, 916, 99.591, 0.257, 890, 311.293, 0.184, 895, 82.728, 0.208, 729, 1714.365, 1.910, 484, 7.244, 0.733, 526, 62.719, 1.021, 866, 537.667, 2.623
1995.8750, 1995, 11, 867, 261.958, 0.195, 815, 523.266, 0.420, 833, 95.005, 0.542, 858, 99.617, 0.261, 860, 311.358, 0.162, 842, 82.744, 0.200, 730, 1711.153, 2.398, 339, 6.677, 0.468, 597, 60.024, 1.808, 836, 541.873, 2.758
1995.9584, 1995, 12, 867, 261.901, 0.212, 851, 523.569, 0.501, 808, 93.310, 0.876, 830, 99.666, 0.294, 837, 311.471, 0.168, 840, 82.741, 0.197, 799, 1701.766, 4.300, 537, 5.798, 0.556, 797, 52.795, 2.320, 885, 545.670, 2.632
1996.0416, 1996, 1, 933, 261.704, 0.248, 915, 523.856, 0.523, 937, 91.512, 0.634, 949, 99.619, 0.256, 925, 311.525, 0.157, 946, 82.696, 0.203, 794, 1692.047, 2.686, 291, 5.550, 0.375, 581, 46.073, 1.752, 921, 546.194, 2.653
1996.1250, 1996, 2, 885, 261.398, 0.232, 876, 523.968, 0.506, 877, 90.382, 0.600, 881, 99.485, 0.280, 868, 311.480, 0.175, 879, 82.658, 0.186, 836, 1687.144, 1.557, 323, 5.231, 0.419, 679, 43.260, 0.892, 899, 546.582, 2.371
1996.2084, 1996, 3, 835, 261.423, 0.301, 696, 524.527, 0.734, 856, 89.058, 0.616, 851, 99.517, 0.268, 802, 311.449, 0.177, 866, 82.706, 0.194, 554, 1686.854, 1.315, 341, 5.124, 0.415, 505, 42.768, 0.904, 816, 544.220, 3.057
1996.2916, 1996, 4, 828, 261.782, 0.329, 828, 525.186, 0.583, 822, 88.640, 0.706, 844, 99.175, 0.377, 775, 311.344, 0.184, 846, 82.792, 0.194, 723, 1690.387, 2.536, 430, 5.249, 0.506, 631, 49.695, 2.839, 826, 542.096, 3.514
1996.3750, 1996, 5, 803, 262.493, 0.299, 748, 526.605, 0.684, 876, 88.054, 1.072, 873, 99.201, 0.546, 622, 311.424, 0.327, 871, 82.951, 0.197, 566, 1698.524, 2.823, 384, 6.566, 1.202, 712, 54.224, 1.608, 805, 538.086, 3.263
1996.4584, 1996, 6, 803, 262.043, 0.349, 831, 526.557, 0.672, 856, 87.787, 0.711, 876, 98.995, 0.458, 763, 311.512, 0.228, 878, 82.932, 0.201, 560, 1704.045, 3.320, 293, 6.784, 0.941, 435, 57.405, 2.367, 658, 532.390, 5.490
1996.5416, 1996, 7, 902, 261.906, 0.258, 842, 526.901, 0.696, 909, 87.139, 0.491, 938, 98.861, 0.243, 872, 311.690, 0.261, 931, 82.928, 0.199, 473, 1708.942, 2.290, 273, 6.888, 0.604, 388, 61.409, 1.730, 731, 529.074, 4.362
1996.6250, 1996, 8, 891, 261.925, 0.231, 869, 527.429, 0.557, 900, 86.165, 0.394, 881, 98.710, 0.243, 865, 311.814, 0.199, 890, 83.003, 0.219, 699, 1712.353, 1.399, 578, 6.837, 0.498, 587, 62.713, 1.338, 833, 529.959, 3.055
1996.7084, 1996, 9, 832, 261.842, 0.253, 784, 527.888, 0.515, 760, 85.513, 0.396, 790, 98.578, 0.249, 823, 311.927, 0.175, 826, 83.094, 0.262, 592, 1713.827, 1.134, 497, 6.873, 0.405, 558, 65.879, 0.926, 827, 530.237, 2.593
1996.7916, 1996, 10, 791, 261.725, 0.250, 752, 528.393, 0.437, 808, 84.418, 0.525, 831, 98.527, 0.247, 772, 312.034, 0.170, 826, 83.170, 0.242, 655, 1713.153, 1.266, 539, 6.727, 0.372, 475, 67.017, 1.036, 703, 535.460, 3.647
1996.8750, 1996, 11, 835, 261.501, 0.229, 811, 528.503, 0.430, 825, 83.094, 0.485, 836, 98.436, 0.272, 815, 312.080, 0.169, 835, 83.129, 0.221, 701, 1709.486, 2.208, 568, 6.127, 0.423, 636, 62.590, 2.744, 817, 539.049, 3.102
1996.9584, 1996, 12, 889, 261.343, 0.188, 883, 528.740, 0.371, 884, 81.913, 0.550, 895, 98.470, 0.229, 863, 312.280, 0.151, 888, 83.047, 0.178, 751, 1701.940, 2.770, 510, 5.562, 0.375, 766, 54.323, 2.862, 907, 542.745, 3.454
1997.0416, 1997, 1, 625, 261.268, 0.217, 568, 529.025, 0.409, 658, 80.180, 0.714, 655, 98.538, 0.237, 605, 312.382, 0.155, 648, 83.013, 0.208, 465, 1694.755, 1.840, 228, 5.240, 0.399, 304, 48.264, 1.290, 607, 543.445, 4.670
1997.1250, 1997, 2, 669, 260.933, 0.298, 590, 529.169, 0.445, 715, 78.428, 0.621, 711, 98.497, 0.257, 661, 312.304, 0.187, 716, 82.883, 0.184, 527, 1690.977, 1.775, 189, 5.010, 0.404, 364, 45.235, 1.099, 689, 543.493, 4.641
1997.2084, 1997, 3, 770, 260.786, 0.278, 730, 529.530, 0.552, 805, 77.668, 0.612, 807, 98.427, 0.270, 758, 312.294, 0.166, 803, 82.841, 0.189, 565, 1692.805, 2.184, 351, 4.975, 0.346, 443, 45.813, 1.085, 773, 543.588, 4.581
1997.2916, 1997, 4, 665, 260.737, 0.351, 588, 529.971, 0.610, 737, 76.679, 0.489, 740, 98.345, 0.276, 633, 312.284, 0.197, 746, 82.808, 0.190, 500, 1698.301, 2.429, 359, 5.209, 0.376, 435, 49.542, 1.995, 656, 541.732, 4.257
1997.3750, 1997, 5, 688, 260.633, 0.321, 691, 530.431, 0.538, 766, 76.005, 0.392, 787, 98.310, 0.281, 658, 312.329, 0.202, 774, 82.797, 0.193, 472, 1705.268, 2.979, 285, 5.662, 0.370, 353, 54.457, 1.949, 704, 538.093, 5.102
1997.4584, 1997, 6, 706, 260.741, 0.306, 679, 531.080, 0.586, 786, 75.390, 0.419, 838, 98.224, 0.265, 667, 312.489, 0.211, 830, 82.840, 0.194, 365, 1712.177, 2.828, 204, 6.031, 0.364, 293, 58.743, 1.580, 479, 533.013, 5.711
1997.5416, 1997, 7, 859, 260.699, 0.273, 833, 531.416, 0.567, 874, 74.876, 0.395, 880, 98.065, 0.282, 839, 312.553, 0.188, 888, 82.885, 0.179, 560, 1717.422, 2.157, 493, 6.350, 0.365, 533, 63.048, 1.762, 721, 531.545, 3.833
1997.6250, 1997, 8, 670, 260.816, 0.241, 644, 531.956, 0.532, 666, 74.268, 0.401, 672, 97.996, 0.279, 649, 312.765, 0.195, 674, 82.945, 0.201, 523, 1721.791, 2.003, 402, 6.671, 0.348, 428, 66.352, 1.318, 563, 531.033, 4.386
1997.7084, 1997, 9, 799, 260.758, 0.244, 767, 532.291, 0.448, 809, 73.541, 0.415, 799, 97.996, 0.269, 775, 312.989, 0.149, 812, 82.952, 0.193, 593, 1723.841, 2.191, 211, 6.891, 0.384, 352, 69.744, 1.365, 849, 532.970, 4.213
1997.7916, 1997, 10, 805, 260.567, 0.247, 782, 532.476, 0.506, 844, 72.482, 0.702, 821, 97.864, 0.297, 805, 313.039, 0.178, 862, 82.938, 0.212, 696, 1721.220, 3.485, 487, 6.512, 0.437, 420, 70.650, 1.169, 842, 538.598, 4.885
1997.8750, 1997, 11, 844, 260.450, 0.212, 843, 532.670, 0.410, 883, 71.327, 0.592, 857, 97.802, 0.258, 837, 313.111, 0.148, 878, 82.929, 0.213, 779, 1717.217, 4.851, 536, 6.109, 0.397, 461, 67.351, 2.119, 725, 543.776, 4.105
1997.9584, 1997, 12, 891, 260.286, 0.205, 903, 532.743, 0.395, 900, 70.128, 0.533, 895, 97.832, 0.264, 897, 313.156, 0.154, 919, 82.911, 0.208, 721, 1711.219, 3.976, 487, 5.697, 0.374, 613, 61.354, 2.109, 890, 549.237, 4.203
1998.0416, 1998, 1, 872, 260.042, 0.245, 861, 532.729, 0.398, 907, 68.712, 0.615, 911, 97.619, 0.295, 872, 313.175, 0.155, 910, 82.869, 0.225, 778, 1703.716, 2.514, 365, 5.306, 0.404, 539, 54.389, 2.279, 865, 553.698, 4.295
1998.1250, 1998, 2, 698, 259.648, 0.280, 706, 532.578, 0.445, 717, 67.623, 0.558, 710, 97.480, 0.273, 703, 313.094, 0.174, 718, 82.746, 0.211, 581, 1698.430, 1.650, 480, 5.089, 0.440, 565, 50.118, 1.188, 712, 556.413, 3.802
1998.2084, 1998, 3, 463, 259.384, 0.343, 485, 532.696, 0.559, 416, 65.928, 0.463, 413, 97.443, 0.307, 483, 312.841, 0.189, 474, 82.617, 0.220, 447, 1698.274, 1.546, 392, 4.986, 0.400, 450, 49.886, 1.251, 502, 555.798, 3.424
1998.2916, 1998, 4, 759, 259.197, 0.299, 753, 532.857, 0.543, 817, 65.381, 0.409, 813, 97.312, 0.287, 738, 312.819, 0.195, 793, 82.507, 0.184, 602, 1702.177, 2.567, 490, 5.256, 0.349, 517, 52.454, 1.195, 729, 553.489, 3.768
1998.3750, 1998, 5, 748, 259.478, 0.422, 769, 533.321, 0.586, 819, 64.758, 0.426, 828, 97.175, 0.295, 697, 312.905, 0.204, 795, 82.602, 0.208, 415, 1710.781, 3.882, 297, 5.707, 0.483, 342, 56.942, 2.406, 632, 549.136, 4.605
1998.4584, 1998, 6, 525, 259.690, 0.294, 556, 533.698, 0.537, 533, 64.240, 0.447, 540, 96.987, 0.308, 495, 313.031, 0.204, 547, 82.669, 0.226, 470, 1719.017, 2.484, 211, 6.318, 0.430, 447, 63.194, 1.750, 502, 545.316, 3.839
1998.5416, 1998, 7, 757, 259.929, 0.279, 778, 534.495, 0.596, 829, 63.693, 0.437, 847, 97.031, 0.272, 761, 313.276, 0.234, 811, 82.710, 0.199, 542, 1726.100, 3.038, 409, 6.694, 0.429, 492, 67.774, 2.161, 699, 543.637, 4.962
1998.6250, 1998, 8, 824, 259.863, 0.211, 854, 534.946, 0.442, 868, 63.102, 0.356, 854, 96.849, 0.248, 822, 313.522, 0.177, 848, 82.715, 0.176, 448, 1732.594, 2.079, 194, 7.119, 0.503, 375, 73.173, 1.591, 784, 540.546, 4.853
1998.7084, 1998, 9, 715, 259.846, 0.286, 694, 535.399, 0.504, 766, 62.296, 0.508, 775, 96.826, 0.294, 671, 313.654, 0.195, 755, 82.709, 0.199, 520, 1734.421, 1.452, 389, 7.000, 0.477, 490, 74.989, 1.361, 719, 544.451, 5.394
1998.7916, 1998, 10, 853, 259.709, 0.238, 852, 535.563, 0.448, 883, 61.534, 0.485, 882, 96.679, 0.268, 856, 313.783, 0.157, 865, 82.740, 0.194, 747, 1733.758, 1.399, 600, 6.893, 0.375, 682, 73.713, 1.546, 897, 549.372, 4.195
1998.8750, 1998, 11, 819, 259.616, 0.193, 835, 535.815, 0.375, 830, 60.453, 0.524, 854, 96.679, 0.241, 802, 313.923, 0.152, 804, 82.703, 0.179, 596, 1729.711, 2.816, 326, 6.455, 0.408, 548, 67.214, 2.817, 479, 550.992, 4.778
1998.9584, 1998, 12, 857, 259.570, 0.240, 858, 536.097, 0.435, 917, 59.134, 0.659, 914, 96.751, 0.256, 867, 314.095, 0.174, 884, 82.756, 0.223, 697, 1721.817, 3.832, 449, 5.827, 0.476, 727, 58.362, 2.946, 345, 557.705, 5.098
1999.0416, 1999, 1, 775, 259.447, 0.257, 802, 536.153, 0.445, 823, 57.930, 0.523, 813, 96.743, 0.254, 776, 314.191, 0.186, 781, 82.723, 0.199, 588, 1714.665, 2.667, 171, 5.478, 0.454, 460, 51.429, 1.910, 791, 556.321, 6.172
1999.1250, 1999, 2, 739, 259.204, 0.270, 720, 536.128, 0.463, 798, 56.652, 0.629, 785, 96.645, 0.253, 734, 314.085, 0.210, 758, 82.621, 0.215, 596, 1710.075, 1.896, 242, 5.037, 0.469, 497, 48.117, 1.231, 797, 556.551, 6.131
1999.2084, 1999, 3, 784, 258.820, 0.310, 774, 536.049, 0.495, 829, 55.914, 0.490, 830, 96.486, 0.270, 767, 313.996, 0.203, 812, 82.436, 0.200, 606, 1710.978, 2.207, 384, 5.096, 0.355, 508, 47.711, 1.107, 725, 556.300, 5.661
1999.2916, 1999, 4, 825, 258.625, 0.283, 844, 536.292, 0.484, 891, 55.106, 0.391, 893, 96.355, 0.250, 869, 313.966, 0.179, 875, 82.365, 0.204, 683, 1717.053, 2.613, 406, 5.210, 0.330, 450, 50.593, 1.251, 859, 552.552, 4.906
1999.3750, 1999, 5, 760, 258.512, 0.341, 742, 536.628, 0.567, 892, 54.447, 0.398, 901, 96.242, 0.284, 718, 314.002, 0.225, 869, 82.265, 0.192, 398, 1724.166, 2.895, 310, 5.754, 0.426, 361, 53.084, 1.603, 573, 548.463, 4.149
1999.4584, 1999, 6, 724, 258.338, 0.296, 728, 536.657, 0.534, 771, 54.061, 0.336, 764, 96.046, 0.263, 674, 314.017, 0.218, 769, 82.247, 0.187, 533, 1730.301, 2.418, 270, 6.371, 0.416, 453, 57.509, 1.621, 668, 544.145, 4.018
1999.5416, 1999, 7, 796, 258.403, 0.282, 780, 537.112, 0.529, 833, 53.469, 0.363, 845, 95.969, 0.260, 697, 314.161, 0.204, 813, 82.270, 0.198, 431, 1735.982, 2.259, 299, 6.652, 0.408, 368, 62.011, 1.406, 584, 541.850, 3.790
1999.6250, 1999, 8, 732, 258.493, 0.262, 748, 537.673, 0.542, 833, 52.776, 0.423, 812, 95.926, 0.242, 704, 314.341, 0.205, 804, 82.291, 0.175, 531, 1740.322, 1.918, 341, 6.755, 0.357, 413, 65.131, 1.348, 719, 541.420, 3.686
1999.7084, 1999, 9, 754, 258.328, 0.223, 776, 537.743, 0.477, 859, 52.223, 0.421, 850, 95.734, 0.234, 773, 314.448, 0.183, 827, 82.220, 0.188, 553, 1742.449, 1.598, 268, 6.927, 0.368, 311, 69.938, 2.017, 817, 541.797, 4.916
1999.7916, 1999, 10, 540, 258.104, 0.230, 567, 537.765, 0.444, 601, 51.635, 0.371, 601, 95.685, 0.246, 556, 314.504, 0.178, 586, 82.112, 0.235, 500, 1740.498, 2.106, 329, 6.468, 0.327, 454, 75.185, 1.461, 679, 548.120, 4.512
1999.8750, 1999, 11, 206, 257.996, 0.178, 581, 537.835, 0.469, 272, 50.996, 0.520, 272, 95.683, 0.260, 551, 314.583, 0.184, 263, 82.058, 0.175, 547, 1736.014, 2.773, 32, 6.516, 0.223, 634, 68.739, 3.667, 798, 551.092, 4.985
1999.9584, 1999, 12, 807, 257.893, 0.198, 821, 538.083, 0.390, 861, 49.895, 0.520, 857, 95.696, 0.249, 825, 314.692, 0.164, 850, 81.958, 0.226, 709, 1727.486, 2.835, 374, 5.629, 0.342, 587, 57.240, 2.274, 852, 552.484, 5.694
2000.0416, 2000, 1, 881, 257.732, 0.196, 904, 538.096, 0.413, 888, 48.684, 0.508, 881, 95.632, 0.211, 888, 314.758, 0.164, 881, 81.904, 0.203, 799, 1718.437, 3.344, 311, 5.112, 0.385, , , , 902, 554.554, 5.570
2000.1250, 2000, 2, 769, 257.577, 0.239, 767, 538.229, 0.521, 830, 47.666, 0.491, 845, 95.621, 0.195, 777, 314.808, 0.186, 818, 81.807, 0.198, 586, 1712.942, 2.077, 157, 5.085, 0.325, , , , 783, 551.381, 5.593
2000.2084, 2000, 3, 855, 257.259, 0.247, 860, 538.085, 0.495, 895, 47.152, 0.408, 886, 95.500, 0.202, 849, 314.685, 0.182, 868, 81.837, 0.171, 735, 1713.327, 2.559, 367, 5.039, 0.297, , , , 836, 551.240, 5.292
2000.2916, 2000, 4, 782, 257.051, 0.272, 780, 538.279, 0.505, 868, 46.376, 0.413, 865, 95.412, 0.233, 761, 314.642, 0.198, 836, 81.775, 0.168, 556, 1718.311, 2.582, 341, 5.279, 0.286, , , , 735, 547.744, 5.297
2000.3750, 2000, 5, 843, 256.935, 0.323, 854, 538.492, 0.550, 896, 45.782, 0.361, 912, 95.266, 0.262, 819, 314.646, 0.211, 879, 81.727, 0.187, 755, 1725.921, 3.357, 532, 5.756, 0.343, , , , 812, 545.244, 4.376
2000.4584, 2000, 6, 829, 256.964, 0.271, 841, 538.833, 0.517, 889, 45.346, 0.293, 886, 95.231, 0.230, 769, 314.778, 0.213, 859, 81.731, 0.175, 597, 1732.161, 2.849, 415, 6.137, 0.313, , , , 731, 539.735, 5.762
2000.5416, 2000, 7, 751, 257.016, 0.249, 790, 539.004, 0.481, 807, 45.072, 0.337, 811, 94.993, 0.250, 771, 314.955, 0.225, 782, 81.469, 0.167, 552, 1738.538, 1.694, 349, 6.463, 0.416, , , , 719, 537.522, 5.783
2000.6250, 2000, 8, 810, 257.046, 0.215, 844, 539.424, 0.447, 882, 44.632, 0.379, 875, 94.874, 0.242, 788, 315.160, 0.185, 866, 81.520, 0.169, 505, 1742.006, 1.450, 324, 6.638, 0.369, , , , 784, 536.399, 6.116
2000.7084, 2000, 9, 739, 256.947, 0.279, 760, 539.569, 0.530, 801, 44.234, 0.695, 793, 94.743, 0.353, 726, 315.261, 0.224, 801, 81.516, 0.199, 655, 1742.259, 1.177, 512, 6.592, 0.403, , , , 844, 539.128, 6.296
2000.7916, 2000, 10, 852, 256.862, 0.222, 775, 539.848, 0.484, 865, 43.424, 0.485, 852, 94.683, 0.252, 747, 315.440, 0.217, 841, 81.496, 0.198, 609, 1740.302, 1.291, 468, 6.398, 0.353, , , , 864, 540.830, 6.411
2000.8750, 2000, 11, 721, 256.884, 0.204, 726, 540.204, 0.454, 727, 42.553, 0.473, 720, 94.787, 0.235, 654, 315.616, 0.230, 731, 81.535, 0.195, 457, 1734.989, 3.274, 163, 5.925, 0.450, , , , 741, 544.277, 6.261
2000.9584, 2000, 12, 672, 256.654, 0.285, 713, 540.008, 0.534, 678, 41.942, 0.571, 689, 94.734, 0.260, 692, 315.610, 0.211, 685, 81.500, 0.201, 639, 1726.461, 3.077, 489, 5.402, 0.317, , , , 740, 548.073, 6.080
2001.0416, 2001, 1, 871, 255.924, 0.312, 864, 539.341, 0.553, 885, 40.643, 0.401, 888, 94.563, 0.238, 842, 315.486, 0.274, 864, 81.720, 0.215, 605, 1717.269, 2.674, 240, 4.913, 0.349, , , , 852, 547.534, 7.090
2001.1250, 2001, 2, 559, 255.765, 0.260, 559, 539.353, 0.520, 596, 39.833, 0.442, 589, 94.548, 0.253, 559, 315.401, 0.207, 587, 81.413, 0.270, 494, 1711.110, 1.959, 241, 4.716, 0.339, , , , 616, 549.104, 9.013
