monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Trinidad Head, California, Lat.:, 41.05, 41.05N, Lon.:, -124.15, 124.15W, Alt:, 107, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---
1996.4584, 1996, 6, 863, 266.149, 0.412, 723, 537.334, 0.686, 893, 96.667, 1.110, 899, 101.541, 0.321, 685, 313.858, 0.360, 884, 84.339, 0.229, 900, 1812.337, 12.974, 670, 11.813, 1.120
1996.5416, 1996, 7, 875, 265.823, 0.454, 652, 537.631, 0.784, 897, 93.236, 1.696, 896, 101.321, 0.308, 626, 314.102, 0.385, 756, 84.366, 0.259, 869, 1795.364, 18.084, 563, 11.731, 1.437
1996.6250, 1996, 8, 868, 265.451, 0.497, 699, 538.201, 0.908, 872, 90.732, 1.223, 924, 101.141, 0.318, 814, 313.725, 0.396, 897, 84.130, 0.243, 934, 1796.877, 19.140, 715, 11.292, 1.375
1996.7084, 1996, 9, 831, 265.489, 0.481, 609, 539.016, 1.059, 802, 89.746, 0.779, 887, 101.020, 0.298, 736, 313.575, 0.326, 831, 84.094, 0.245, 892, 1821.415, 15.286, 600, 12.529, 1.527
1996.7916, 1996, 10, 871, 265.700, 0.415, 739, 539.810, 0.839, 889, 88.556, 0.836, 926, 101.197, 0.291, 844, 313.607, 0.282, 891, 84.135, 0.241, 939, 1818.760, 14.981, 718, 13.352, 1.468
1996.8750, 1996, 11, 857, 265.749, 0.434, 643, 539.814, 0.789, 776, 87.905, 0.803, 911, 101.160, 0.279, 828, 313.685, 0.248, 832, 84.126, 0.236, 903, 1825.680, 12.211, 577, 13.199, 1.287
1996.9584, 1996, 12, 917, 265.480, 0.414, 835, 539.322, 0.812, 908, 86.667, 0.817, 924, 101.103, 0.304, 907, 313.637, 0.224, 909, 84.100, 0.213, 937, 1817.518, 11.473, 879, 12.298, 0.952
1997.0416, 1997, 1, 921, 265.274, 0.374, 793, 539.350, 0.861, 930, 85.809, 0.637, 935, 100.851, 0.262, 944, 313.665, 0.228, 864, 84.116, 0.224, 896, 1818.031, 9.303, 845, 12.357, 0.973
1997.1250, 1997, 2, 852, 265.040, 0.375, 762, 539.232, 0.740, 831, 85.083, 0.608, 850, 100.713, 0.274, 854, 313.720, 0.249, 857, 84.055, 0.217, 789, 1821.237, 8.598, 767, 12.718, 0.926
1997.2084, 1997, 3, 746, 265.127, 0.396, 673, 539.292, 0.692, 796, 84.721, 0.791, 814, 100.328, 0.300, 766, 314.077, 0.265, 776, 84.278, 0.221, 801, 1827.539, 11.725, 717, 12.599, 1.054
1997.2916, 1997, 4, 922, 264.933, 0.392, 863, 539.318, 0.699, 940, 83.476, 1.044, 916, 100.226, 0.297, 860, 314.221, 0.277, 903, 84.250, 0.221, 930, 1825.551, 11.536, 819, 12.334, 1.201
1997.3750, 1997, 5, 887, 264.841, 0.535, 722, 539.628, 0.880, 940, 82.102, 1.584, 944, 100.219, 0.292, 910, 314.226, 0.268, 938, 84.275, 0.242, 946, 1818.540, 20.382, 676, 11.995, 1.693
1997.4584, 1997, 6, 612, 264.533, 0.496, 596, 539.749, 0.647, 615, 80.176, 0.652, 615, 100.195, 0.290, 570, 314.215, 0.275, 611, 84.205, 0.256, 619, 1806.320, 11.626, 576, 10.985, 1.140
1997.5416, 1997, 7, 929, 264.384, 0.586, 747, 540.263, 0.756, 968, 78.145, 1.126, 957, 100.035, 0.341, 699, 314.303, 0.286, 743, 84.311, 0.311, 963, 1798.971, 14.576, 842, 10.951, 1.517
1997.6250, 1997, 8, 929, 264.084, 0.530, 662, 540.592, 0.722, 954, 75.937, 0.887, 952, 99.841, 0.307, 821, 314.075, 0.291, 868, 84.055, 0.279, 917, 1794.604, 15.130, 652, 10.422, 1.451
1997.7084, 1997, 9, 839, 264.136, 0.574, 653, 541.210, 0.783, 835, 74.991, 0.582, 912, 99.704, 0.300, 803, 314.017, 0.254, 861, 83.937, 0.254, 905, 1813.815, 15.103, 642, 11.764, 1.585
1997.7916, 1997, 10, 830, 264.379, 0.500, 615, 541.953, 0.729, 824, 74.186, 0.580, 941, 99.770, 0.265, 742, 314.259, 0.255, 919, 83.922, 0.231, 880, 1823.760, 11.065, 569, 12.827, 1.198
1997.8750, 1997, 11, 785, 264.491, 0.484, 615, 542.319, 0.731, 776, 73.236, 0.569, 851, 99.924, 0.283, 750, 314.382, 0.211, 805, 83.961, 0.235, 711, 1824.141, 10.121, 680, 12.498, 1.050
1997.9584, 1997, 12, 788, 264.484, 0.363, 629, 542.431, 0.594, 734, 72.793, 0.457, 870, 100.024, 0.298, 814, 314.474, 0.231, 803, 83.933, 0.214, 810, 1827.860, 8.717, 828, 12.716, 0.869
1998.0416, 1998, 1, 897, 264.167, 0.452, 808, 542.165, 0.694, 874, 72.189, 0.573, 937, 100.143, 0.268, 922, 314.644, 0.204, 920, 83.887, 0.232, 896, 1828.107, 10.933, 938, 12.562, 0.877
1998.1250, 1998, 2, 753, 263.991, 0.399, 707, 542.223, 0.590, 764, 71.675, 0.470, 770, 99.970, 0.266, 766, 314.723, 0.206, 739, 83.858, 0.222, 682, 1838.402, 6.958, 743, 12.913, 0.754
1998.2084, 1998, 3, 916, 263.741, 0.394, 831, 542.178, 0.715, 907, 70.660, 0.562, 940, 99.790, 0.256, 927, 314.790, 0.216, 926, 83.786, 0.208, 899, 1834.170, 11.458, 776, 12.815, 1.128
1998.2916, 1998, 4, 789, 263.722, 0.343, 703, 542.424, 0.554, 802, 70.011, 0.470, 795, 99.774, 0.252, 726, 314.953, 0.205, 783, 83.768, 0.200, 801, 1841.425, 6.745, 665, 13.068, 1.009
1998.3750, 1998, 5, 885, 263.304, 0.423, 869, 542.393, 0.568, 896, 68.739, 0.560, 890, 99.729, 0.261, 899, 314.909, 0.230, 879, 83.661, 0.216, 906, 1833.230, 8.922, 836, 12.421, 1.165
1998.4584, 1998, 6, 867, 262.882, 0.453, 827, 542.435, 0.676, 880, 66.935, 0.681, 874, 99.515, 0.295, 717, 314.973, 0.286, 847, 83.590, 0.220, 842, 1818.407, 10.668, 721, 12.581, 1.682
1998.5416, 1998, 7, 930, 262.294, 0.458, 882, 542.333, 0.789, 940, 64.266, 0.878, 935, 99.285, 0.296, 806, 314.900, 0.354, 783, 83.557, 0.279, 932, 1793.590, 16.273, 905, 10.786, 1.831
1998.6250, 1998, 8, 910, 261.809, 0.499, 782, 542.440, 0.934, 916, 63.214, 0.626, 928, 98.846, 0.304, 844, 314.815, 0.380, 919, 83.311, 0.251, 846, 1808.376, 17.789, 789, 11.823, 2.115
1998.7084, 1998, 9, 858, 261.875, 0.338, 522, 543.217, 0.725, 931, 62.361, 0.453, 924, 98.574, 0.243, 615, 314.636, 0.269, 900, 83.243, 0.191, 811, 1841.322, 13.488, 708, 13.592, 1.518
1998.7916, 1998, 10, 814, 262.360, 0.414, 690, 543.514, 0.623, 885, 61.802, 0.371, 882, 98.819, 0.241, 842, 314.615, 0.276, 873, 83.214, 0.200, 768, 1847.606, 11.332, 649, 13.096, 1.272
1998.8750, 1998, 11, 794, 262.761, 0.284, 695, 543.927, 0.532, 806, 61.265, 0.413, 819, 98.929, 0.214, 843, 314.782, 0.185, 827, 83.255, 0.185, 765, 1848.534, 11.261, 771, 12.917, 0.978
1998.9584, 1998, 12, 925, 262.687, 0.243, 690, 543.906, 0.573, 947, 60.698, 0.463, 962, 98.727, 0.223, 909, 314.913, 0.183, 955, 83.212, 0.170, 923, 1845.183, 11.572, 843, 12.596, 0.951
1999.0416, 1999, 1, 835, 262.596, 0.276, 725, 543.948, 0.621, 916, 60.079, 0.377, 983, 98.561, 0.211, 870, 315.107, 0.170, 923, 83.221, 0.175, 856, 1843.045, 10.351, 781, 12.273, 0.847
1999.1250, 1999, 2, 880, 262.423, 0.259, 832, 543.968, 0.569, 886, 59.689, 0.400, 875, 98.455, 0.211, 877, 315.130, 0.166, 881, 83.190, 0.166, 869, 1849.989, 8.460, 842, 12.284, 0.725
1999.2084, 1999, 3, 854, 262.230, 0.284, 765, 543.976, 0.585, 873, 59.136, 0.329, 873, 98.340, 0.225, 871, 315.225, 0.209, 864, 83.170, 0.171, 826, 1853.242, 8.279, 781, 12.356, 0.727
1999.2916, 1999, 4, 858, 262.110, 0.316, 754, 544.002, 0.558, 914, 58.500, 0.496, 918, 98.276, 0.246, 804, 315.480, 0.205, 879, 83.168, 0.184, 897, 1853.543, 9.043, 639, 12.323, 0.769
1999.3750, 1999, 5, 948, 261.654, 0.257, 843, 543.747, 0.554, 952, 57.377, 0.502, 965, 98.187, 0.247, 707, 315.514, 0.209, 937, 83.007, 0.183, 859, 1844.971, 9.221, 803, 11.674, 0.966
1999.4584, 1999, 6, 845, 261.278, 0.245, 773, 543.662, 0.516, 900, 55.865, 0.672, 907, 98.082, 0.219, 650, 315.442, 0.247, 902, 82.917, 0.170, 881, 1825.503, 13.836, 835, 10.798, 1.316
1999.5416, 1999, 7, 950, 260.549, 0.305, 883, 543.185, 0.631, 961, 54.010, 0.799, 938, 97.705, 0.246, 768, 315.243, 0.241, 946, 82.507, 0.190, 889, 1809.885, 14.326, 821, 11.301, 1.481
1999.6250, 1999, 8, 924, 260.419, 0.330, 840, 543.472, 0.662, 951, 52.426, 0.480, 957, 97.650, 0.254, 933, 315.187, 0.318, 957, 82.461, 0.182, 926, 1806.671, 15.655, 858, 10.976, 1.824
1999.7084, 1999, 9, 791, 260.827, 0.424, 525, 544.745, 0.919, 878, 52.079, 0.441, 942, 97.327, 0.229, 742, 315.714, 0.362, 884, 82.480, 0.207, 806, 1839.622, 12.031, 421, 13.078, 1.490
1999.7916, 1999, 10, 725, 261.308, 0.323, 588, 545.621, 0.729, 925, 51.271, 0.462, 950, 97.631, 0.278, 688, 315.762, 0.300, 932, 82.503, 0.195, 767, 1841.807, 12.729, 489, 12.453, 1.548
1999.8750, 1999, 11, 821, 261.437, 0.277, 694, 545.781, 0.651, 897, 50.759, 0.386, 817, 97.885, 0.217, 822, 315.765, 0.192, 877, 82.491, 0.197, 826, 1842.481, 10.282, 745, 12.527, 1.195
1999.9584, 1999, 12, 898, 261.374, 0.239, 811, 545.749, 0.617, 931, 50.281, 0.470, 946, 97.750, 0.226, 799, 315.826, 0.188, 938, 82.453, 0.176, 895, 1839.355, 11.523, 704, 12.841, 1.075
2000.0416, 2000, 1, 940, 261.181, 0.276, 854, 545.636, 0.621, 943, 49.731, 0.413, 936, 97.625, 0.203, 935, 315.962, 0.164, 932, 82.424, 0.178, 876, 1836.631, 12.919, 890, 11.994, 1.197
2000.1250, 2000, 2, 782, 261.102, 0.302, 714, 545.807, 0.671, 828, 49.393, 0.389, 823, 97.459, 0.191, 824, 316.095, 0.172, 826, 82.463, 0.185, 780, 1843.073, 10.536, 754, 12.081, 1.003
2000.2084, 2000, 3, 889, 261.272, 0.236, 812, 546.170, 0.528, 933, 49.365, 0.344, 929, 97.388, 0.216, 772, 316.421, 0.219, 909, 82.612, 0.170, 851, 1852.705, 8.473, 752, 12.567, 0.975
2000.2916, 2000, 4, 891, 261.104, 0.240, 825, 546.277, 0.531, 905, 48.628, 0.426, 917, 97.435, 0.234, 771, 316.496, 0.199, 890, 82.582, 0.144, 882, 1844.656, 10.971, 791, 12.241, 1.127
2000.3750, 2000, 5, 954, 260.926, 0.245, 937, 546.321, 0.516, 963, 47.828, 0.596, 946, 97.519, 0.207, 941, 316.564, 0.190, 957, 82.525, 0.150, 957, 1838.436, 12.349, 919, 11.636, 1.211
2000.4584, 2000, 6, 815, 260.850, 0.297, 658, 546.711, 0.531, 917, 46.869, 0.706, 935, 97.336, 0.293, 351, 316.743, 0.226, 856, 82.496, 0.171, 794, 1826.488, 16.680, 558, 11.073, 1.375
2000.5416, 2000, 7, 916, 260.431, 0.229, 869, 546.537, 0.507, 951, 45.254, 0.668, 934, 97.323, 0.204, 751, 316.852, 0.275, 711, 82.493, 0.194, 934, 1804.833, 14.514, 829, 9.982, 1.679
2000.6250, 2000, 8, 950, 260.089, 0.234, 873, 546.730, 0.561, 965, 44.392, 0.543, 974, 96.986, 0.238, 815, 316.809, 0.263, 975, 82.278, 0.168, 866, 1817.626, 17.026, 841, 11.603, 1.884
2000.7084, 2000, 9, 734, 260.258, 0.315, 629, 547.249, 0.677, 913, 43.442, 0.447, 920, 96.932, 0.233, 709, 316.861, 0.289, 851, 82.270, 0.176, 794, 1826.055, 14.160, 707, 12.029, 1.665
2000.7916, 2000, 10, 767, 260.465, 0.284, 723, 547.826, 0.686, 940, 43.015, 0.330, 938, 97.038, 0.221, 779, 316.876, 0.240, 932, 82.251, 0.163, 889, 1838.056, 12.826, 723, 12.847, 1.749
2000.8750, 2000, 11, 657, 260.576, 0.210, 595, 547.919, 0.495, 687, 42.782, 0.250, 685, 97.118, 0.191, 631, 316.948, 0.186, 677, 82.174, 0.163, 620, 1847.174, 8.662, 556, 12.530, 1.248
2000.9584, 2000, 12, 824, 260.474, 0.240, 744, 547.733, 0.605, 900, 42.500, 0.303, 972, 96.978, 0.229, 884, 317.117, 0.197, 939, 82.102, 0.165, 796, 1842.521, 12.577, 746, 11.570, 0.833
2001.0416, 2001, 1, 804, 260.329, 0.268, 733, 547.704, 0.556, 934, 42.258, 0.305, 948, 96.869, 0.211, 874, 317.231, 0.198, 934, 82.071, 0.160, 758, 1846.407, 9.445, 799, 11.403, 0.783
2001.1250, 2001, 2, 806, 260.061, 0.287, 727, 547.467, 0.600, 882, 41.873, 0.300, 873, 96.648, 0.213, 850, 317.279, 0.188, 867, 82.030, 0.144, 729, 1848.505, 8.663, 748, 11.057, 0.712
2001.2084, 2001, 3, 935, 259.765, 0.304, 812, 547.177, 0.611, 965, 41.330, 0.453, 960, 96.479, 0.243, 863, 317.368, 0.233, 971, 81.904, 0.153, 882, 1845.189, 10.950, 742, 10.939, 0.900
2001.2916, 2001, 4, 916, 259.581, 0.223, 898, 547.140, 0.536, 930, 40.944, 0.444, 924, 96.515, 0.216, 902, 317.397, 0.223, 932, 81.857, 0.143, 884, 1849.334, 11.726, 844, 11.127, 0.925
2001.3750, 2001, 5, 928, 259.221, 0.261, 835, 547.050, 0.501, 971, 40.393, 0.449, 983, 96.298, 0.263, 505, 317.555, 0.278, 925, 81.784, 0.171, 889, 1844.170, 11.811, 789, 11.107, 0.959
2001.4584, 2001, 6, 909, 258.741, 0.293, 853, 546.736, 0.526, 957, 39.372, 0.510, 950, 96.307, 0.238, 760, 317.453, 0.333, 864, 81.724, 0.191, 877, 1827.980, 12.071, 880, 10.134, 1.253
2001.5416, 2001, 7, 875, 258.269, 0.278, 802, 546.430, 0.534, 944, 38.248, 0.517, 948, 96.101, 0.255, 676, 317.642, 0.320, 868, 81.601, 0.205, 786, 1813.225, 14.734, 861, 10.130, 1.326
2001.6250, 2001, 8, 859, 257.862, 0.271, 821, 546.318, 0.558, 892, 37.053, 0.437, 892, 96.058, 0.210, 840, 317.213, 0.297, 763, 81.466, 0.200, 753, 1807.182, 15.176, 824, 9.953, 1.897
2001.7084, 2001, 9, 711, 257.917, 0.404, 712, 546.821, 0.742, 896, 36.586, 0.337, 902, 95.877, 0.269, 722, 317.343, 0.321, 874, 81.472, 0.212, 841, 1832.088, 11.417, 780, 12.894, 1.805
2001.7916, 2001, 10, 792, 258.545, 0.570, 633, 547.632, 0.671, 934, 36.172, 0.371, 964, 95.960, 0.342, 688, 317.584, 0.252, 823, 81.677, 0.231, 915, 1844.130, 10.240, 605, 12.881, 1.453
2001.8750, 2001, 11, 889, 258.419, 0.575, 816, 547.437, 0.546, 927, 35.684, 0.321, 926, 96.149, 0.334, 900, 317.531, 0.211, 888, 81.565, 0.227, 903, 1842.018, 9.320, 761, 11.964, 1.154
2001.9584, 2001, 12, 855, 258.256, 0.456, 796, 547.492, 0.553, 877, 35.400, 0.290, 871, 96.140, 0.321, 862, 317.542, 0.199, 860, 81.436, 0.191, 804, 1844.369, 8.216, 836, 11.747, 0.854
2002.0416, 2002, 1, 941, 258.042, 0.476, 917, 547.415, 0.500, 963, 35.080, 0.320, 969, 95.932, 0.360, 971, 317.614, 0.169, 949, 81.507, 0.221, 864, 1842.251, 10.532, 903, 11.478, 1.121
2002.1250, 2002, 2, 762, 257.848, 0.399, 685, 547.382, 0.569, 813, 34.674, 0.314, 816, 95.780, 0.339, 788, 317.742, 0.197, 807, 81.493, 0.198, 726, 1843.607, 10.388, 677, 11.582, 1.005
2002.2084, 2002, 3, 866, 257.705, 0.375, 820, 547.256, 0.513, 943, 34.419, 0.315, 946, 95.705, 0.276, 787, 317.818, 0.197, 956, 81.424, 0.177, 861, 1848.005, 8.952, 874, 11.670, 0.816
2002.2916, 2002, 4, 867, 257.501, 0.341, 842, 547.071, 0.569, 922, 33.879, 0.359, 915, 95.546, 0.299, 680, 318.058, 0.274, 854, 81.417, 0.258, 825, 1839.100, 12.812, 782, 11.376, 1.257
2002.3750, 2002, 5, 868, 257.070, 0.406, 876, 546.726, 0.494, 917, 33.318, 0.515, 909, 95.124, 0.393, 725, 318.132, 0.320, 838, 81.310, 0.343, 828, 1836.057, 11.253, 840, 10.968, 1.298
2002.4584, 2002, 6, 897, 256.785, 0.406, 902, 546.873, 0.526, 923, 32.520, 0.416, 932, 94.871, 0.354, 741, 318.174, 0.382, 875, 81.157, 0.395, 875, 1825.822, 10.504, 842, 10.871, 1.344
2002.5416, 2002, 7, 893, 256.280, 0.542, 899, 546.587, 0.587, 967, 31.490, 0.643, 969, 94.682, 0.357, 851, 318.269, 0.418, 774, 81.178, 0.327, 888, 1808.210, 18.983, 911, 10.087, 1.703
2002.6250, 2002, 8, 894, 255.878, 0.515, 856, 546.604, 0.699, 975, 30.820, 0.502, 969, 94.306, 0.356, 805, 318.320, 0.484, 851, 81.041, 0.292, 802, 1813.835, 17.163, 779, 11.339, 1.852
2002.7084, 2002, 9, 831, 256.105, 0.608, 725, 547.137, 0.846, 868, 30.400, 0.358, 901, 94.419, 0.398, 731, 318.146, 0.502, 848, 80.844, 0.265, 746, 1828.066, 14.363, 738, 11.931, 1.783
2002.7916, 2002, 10, 856, 256.467, 0.571, 736, 547.894, 0.917, 954, 30.119, 0.307, 956, 94.476, 0.365, 766, 318.366, 0.344, 967, 80.585, 0.212, 787, 1845.546, 10.288, 844, 13.539, 1.288
2002.8750, 2002, 11, 842, 256.293, 0.498, 742, 547.682, 0.771, 911, 29.718, 0.289, 893, 94.636, 0.288, 837, 318.176, 0.295, 906, 80.538, 0.172, 692, 1845.260, 10.346, 675, 12.133, 1.259
2002.9584, 2002, 12, 850, 256.224, 0.498, 743, 547.430, 0.596, 943, 29.494, 0.487, 922, 94.752, 0.423, 872, 318.214, 0.235, 961, 80.542, 0.191, 634, 1848.867, 8.382, 896, 11.965, 0.998
2003.0416, 2003, 1, 937, 255.916, 0.572, 839, 547.465, 0.673, 957, 29.155, 0.427, 958, 94.518, 0.398, 946, 318.293, 0.217, 960, 80.505, 0.207, 687, 1839.527, 13.243, 775, 11.257, 1.236
2003.1250, 2003, 2, 800, 255.653, 0.419, 743, 547.282, 0.537, 816, 29.131, 0.322, 806, 94.661, 0.279, 802, 318.397, 0.204, 811, 80.414, 0.195, 579, 1845.810, 7.765, 697, 11.806, 0.946
2003.2084, 2003, 3, 904, 255.390, 0.415, 948, 547.016, 0.527, 947, 28.716, 0.322, 950, 94.624, 0.302, 969, 318.469, 0.194, 940, 80.346, 0.190, 648, 1846.578, 11.246, 890, 11.381, 1.012
2003.2916, 2003, 4, 887, 255.292, 0.446, 925, 546.981, 0.481, 934, 28.547, 0.288, 925, 94.679, 0.309, 952, 318.650, 0.224, 927, 80.322, 0.195, 617, 1857.180, 7.251, 927, 11.532, 0.661
2003.3750, 2003, 5, 936, 255.126, 0.450, 900, 546.868, 0.469, 945, 28.210, 0.406, 955, 94.574, 0.367, 862, 318.824, 0.240, 953, 80.213, 0.202, 588, 1853.477, 9.372, 788, 11.209, 0.975
2003.4584, 2003, 6, 887, 254.717, 0.497, 826, 546.598, 0.560, 901, 27.582, 0.428, 917, 94.373, 0.379, 677, 318.990, 0.337, 860, 80.198, 0.238, 552, 1837.558, 11.504, 748, 10.791, 1.073
2003.5416, 2003, 7, 955, 254.294, 0.527, 900, 546.228, 0.596, 964, 26.820, 0.409, 966, 94.279, 0.397, 753, 318.885, 0.379, 747, 80.184, 0.269, 631, 1824.355, 13.073, 742, 10.270, 1.310
2003.6250, 2003, 8, 866, 253.709, 0.553, 833, 545.902, 0.709, 865, 26.017, 0.365, 883, 93.963, 0.437, 887, 318.548, 0.400, 865, 79.877, 0.241, 568, 1824.917, 15.136, 803, 10.920, 1.608
2003.7084, 2003, 9, 824, 253.846, 0.501, 778, 546.414, 0.784, 879, 25.639, 0.352, 931, 93.936, 0.402, 727, 318.749, 0.374, 885, 79.856, 0.204, 516, 1840.876, 16.862, 781, 11.863, 1.572
2003.7916, 2003, 10, 792, 253.897, 0.320, 755, 546.623, 0.686, 950, 25.337, 0.333, 977, 94.263, 0.289, 901, 318.738, 0.286, 945, 79.833, 0.167, 541, 1842.721, 13.922, 800, 11.976, 1.492
2003.8750, 2003, 11, 833, 253.978, 0.327, 836, 546.726, 0.632, 858, 25.170, 0.244, 825, 94.382, 0.248, 870, 318.794, 0.309, 816, 79.825, 0.157, 427, 1852.783, 11.085, 818, 12.125, 1.281
2003.9584, 2003, 12, 869, 254.520, 0.302, 903, 547.033, 0.722, 956, 25.011, 0.231, 932, 94.079, 0.252, 962, 318.985, 0.308, 976, 79.821, 0.149, 500, 1856.323, 10.048, 943, 11.737, 0.917
2004.0416, 2004, 1, 869, 254.241, 0.315, 851, 546.796, 0.673, 942, 24.730, 0.244, 942, 93.919, 0.211, 920, 318.980, 0.221, 946, 79.789, 0.142, 764, 1850.105, 11.011, 919, 11.350, 0.837
2004.1250, 2004, 2, 790, 253.981, 0.254, 797, 546.593, 0.594, 872, 24.632, 0.233, 877, 93.797, 0.190, 865, 319.073, 0.214, 876, 79.746, 0.136, 733, 1852.740, 10.241, 803, 11.411, 0.826
2004.2084, 2004, 3, 846, 253.781, 0.267, 794, 546.537, 0.623, 955, 24.412, 0.254, 964, 93.736, 0.208, 820, 319.239, 0.263, 973, 79.708, 0.140, 766, 1852.739, 11.755, 623, 11.639, 0.849
2004.2916, 2004, 4, 796, 253.537, 0.257, 821, 546.229, 0.568, 934, 24.314, 0.238, 938, 93.659, 0.176, 854, 319.292, 0.269, 882, 79.636, 0.153, 793, 1856.203, 6.631, 644, 11.638, 0.737
2004.3750, 2004, 5, 794, 253.103, 0.239, 799, 545.740, 0.537, 807, 23.778, 0.354, 809, 93.673, 0.191, 774, 319.220, 0.275, 814, 79.490, 0.150, 605, 1841.049, 10.745, 674, 10.979, 1.222
2004.4584, 2004, 6, 861, 252.777, 0.331, 920, 545.484, 0.592, 918, 23.400, 0.336, 931, 93.574, 0.219, 799, 319.270, 0.322, 817, 79.403, 0.162, 737, 1831.995, 10.175, 905, 11.188, 1.320
2004.5416, 2004, 7, 930, 252.191, 0.245, 917, 545.019, 0.621, 901, 22.785, 0.323, 956, 93.443, 0.178, 881, 319.283, 0.430, 629, 79.276, 0.180, 860, 1808.816, 13.046, 870, 10.694, 1.915
2004.6250, 2004, 8, 805, 251.962, 0.356, 868, 544.998, 0.708, 118, 21.597, 0.310, 853, 93.554, 0.323, 870, 319.171, 0.357, 725, 79.174, 0.173, 828, 1817.813, 12.819, 794, 11.157, 1.801
2004.7084, 2004, 9, 800, 251.523, 0.364, 824, 544.799, 0.797, 913, 21.337, 0.293, 918, 93.025, 0.232, 820, 318.978, 0.402, , , , 793, 1836.735, 13.467, 690, 12.082, 1.668
2004.7916, 2004, 10, 746, 251.763, 0.307, 786, 545.113, 0.705, 938, 21.025, 0.266, 952, 93.097, 0.209, 838, 319.125, 0.347, , , , 827, 1843.107, 11.759, 713, 12.838, 1.404
2004.8750, 2004, 11, 749, 251.999, 0.286, 744, 545.714, 0.720, 903, 20.786, 0.262, 854, 93.141, 0.249, 819, 319.470, 0.342, , , , 701, 1848.370, 10.019, 606, 13.125, 0.992
