"Station  name","WDCGG ID","GAW Category","Country","Category","Platform","Latitude","Longitude","Altitude","Parameter1","Parameter2","Sampling height","Sampling type","Current Scale","Data period(start)","Data period(end)","Last update","Situation","Measurement method","Sampling frequency","Contributor1","Country1","Contributor2","Country2","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","propane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arrival Heights","ARH777S00-NIWA","Regional","New Zealand","Stationary","Ground base","-77.8","166.67","184","VOCs","ethane","","flask","","1990-01-30","1999-11-11","2014-11-18","","Gas Chromatography (FID)","Typically 1-2 samples were collected each month.","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Arrival Heights","ARH777S00-NIWA","Regional","New Zealand","Stationary","Ground base","-77.8","166.67","184","VOCs","propane","","flask","","1990-01-30","1999-11-11","2014-11-18","","Gas Chromatography (FID)","Typically 1-2 samples were collected each month.","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","2-methylbutane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","2-methylpropane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","ethane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","n-butane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","n-pentane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Ascension Island","ASC107S00-NOAA","Regional","United Kingdom of Great Britain and Northern Ireland","Stationary","Ground base","-7.92","-14.42","54","VOCs","propane","","flask","","2005-04-21","2015-06-24","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","2-methylbutane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","2-methylpropane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","ethane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","n-butane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","n-pentane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Assekrem","ASK123N00-NOAA","Global","Algeria","Stationary","Ground base","23.27","5.63","2710","VOCs","propane","","flask","","2006-02-18","2015-06-14","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","2-methylbutane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","2-methylpropane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","ethane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","n-butane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","n-pentane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baltic Sea","BAL655N00-NOAA","Regional","Poland","Stationary","Ocean base","55.35","17.22","28","VOCs","propane","","flask","","2004-10-31","2011-06-22","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","benzene","10","continuous","","1991-12-09","1993-07-15","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","ethane","10","continuous","","1991-12-09","1993-07-15","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","propane","10","continuous","","1991-12-09","1993-07-15","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","toluene","10","continuous","","1991-12-09","1993-07-15","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","benzene","10","flask","","1993-03-04","2000-01-25","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","ethane","10","flask","","1993-03-04","2000-01-25","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","propane","10","flask","","1993-03-04","2000-01-25","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Baring Head","BHD541S00-NIWA","Regional","New Zealand","Stationary","Ground base","-41.41","174.87","85","VOCs","toluene","10","flask","","1993-03-04","2000-01-25","2015-02-02","","Gas Chromatography (FID)","","National Institute of Water &amp; Atmospheric Research Ltd.","New Zealand"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","2-methylbutane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","2-methylpropane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","ethane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","n-butane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","n-pentane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Barrow","BRW471N00-NOAA","Global","United States of America","Stationary","Ground base","71.32","-156.6","11","VOCs","propane","","flask","","2005-05-20","2015-06-29","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","2-methylbutane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","2-methylpropane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","ethane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","n-butane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","n-pentane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Black Sea","BSC644N00-NOAA","Regional","Romania","Stationary","Ground base","44.17","28.67","3","VOCs","propane","","flask","","2002-06-17","2011-12-26","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","2-methylbutane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","2-methylpropane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","ethane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","n-butane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","n-pentane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Bukit Koto Tabang","BKT500S00-NOAA","Global","Indonesia","Stationary","Ground base","-0.2","100.32","864.5","VOCs","propane","","flask","","2006-01-24","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","2-methylbutane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","2-methylpropane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","ethane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","n-butane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","n-pentane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Grim","CGO540S00-NOAA","Global","Australia","Stationary","Ground base","-40.68","144.68","94","VOCs","propane","","flask","","2004-12-16","2015-05-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","2-methylbutane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","2-methylpropane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","ethane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","n-butane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","n-pentane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Kumukahi","KUM519N00-NOAA","Regional","United States of America","Stationary","Ground base","19.52","-154.82","3","VOCs","propane","","flask","","2005-05-16","2015-06-30","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Point","CPT134S00-NOAA","Global","South Africa","Stationary","Ground base","-34.35","18.48","230","VOCs","ethane","","flask","","2014-04-17","2015-06-23","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","2-methylbutane","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","2-methylpropane","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","acetaldehyde","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","acetone","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","acetylene","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","dimethylsulfide","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","ethane","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
"Cape Verde Observatory","CVO116N00-UYRK","Global","Cape Verde","Stationary","Ground base","16.848","-24.871","10","VOCs","ethene","10","continuous","APEL REIMER 54 CYLINDER NUMBER  236351, NPL 30 COMPONENT MIXTURE 2008, CYLINDER NUMBER =D838940, NPL 30 COMPONENT MIXTURE 2012, CYLINDER NUMBER =D860619, NPL 30 COMPONENT MIXTURE 2014, CYLINDER NUMBER D910414","2006-10-01","2014-12-31","2015-11-02","ongoing","Gas Chromatography (FID)","~ 1 hour time resolution for C2-C8 NMHC, DMS and o-voc including acetone, methanol, acetaldehyde.","University of York","United Kingdom of Great Britain and Northern Ireland"," "," ","END"
